Unnamed: 0, , .1, .2, .3, .4, .5, .6, .7
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 13, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 14, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 15, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 16, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 17, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 18, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 19, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 20, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
FACILITIES, Production, Equipment In-Place at End of Prior Year, , , , 4000, , 
Asia-Pacific,   Equipment, Additional Equip Purchased ----------, , , New, 0, , 
,   (000s of pairs), , , , Refurb, 0, , 
, , Equipment Sold Off, , , , 0, , 
, ,   Equipment In-Place for Current Year, , , , 4000, , 
, , , , , , , , 
, , Percentage New vs. Refurb ---------, , , New, 0, , 
, , , , , Refurb, 1, , 
, , , , , , , , 
, Investment in, Beginning Gross Investment, , , , 57600, , 
,   Production,   + Capital Cost of New Equipment, , , , 0, , 
,   Equipment,   + Capital Cost of Refurbished Equipment, , , , 0, , 
,   ($000s),   + Capital Cost of Production Imp. Options, , , , 0, , 
, ,   + Capital Cost of Energy Efficiency Init, , , , 0, , 
, ,   – Capital Cost of Equipment Sold, , , , 0, , 
, ,     Gross Investment in Production Equip, , , , 57600, , 
, ,       – Accumulated Depreciation, , , , 23040, , 
, ,       – Current-Year Depreciation, , , , 5760, , 
, ,         Net Investment in Production Equip, , , , 28800, , 
, , , , , , , , 
, Equipment, Opt A -----------, Year Ordered, , , 0, , 
,   Upgrades, , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 10000, , 
, , , Projected / Actual Cost Savings, , , 3005, , 
, , , , , , , , 
, , Opt B -----------, Year Ordered, , , 0, , 
, , , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 6400, , 
, , , Projected / Actual Cost Savings, , , 1235, , 
, , , , , , , , 
, , Opt C -----------, Year Ordered, , , 0, , 
, , , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 19200, , 
, , , Projected / Actual Cost Savings, , , 8019, , 
, , , , , , , , 
, , Opt D -----------, Year Ordered, , , 0, , 
, , , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 57600, , 
, , , Projected / Actual Cost Savings, , , 3021, , 
, , , , , , , , 
, , Upgrade Cost for Option Ordered This Year, , , , 0, , 
, , Upgrade Cost for Options Already Online, , , , 0, , 
, , , , , , , , 
, , , , , , , , 
, Net Capital Outlays for this Production Facility, , , , , 0, , 
, Capital Cost of Production Improvements On Order, , , , , 0, , 
, Total Cash Received for Sale of Production Equipment, , , , , 0, , 
, , , , , , , , 
, , , , , , 0, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
FACILITIES, Initial Year, Year that Space Became Available, , , , 0, , 
Latin America, , , , , , , , 
, Space, Space Available at End of Last Year, , , , 0, , 
,   (000s of pairs), New/Additional Space (initiated last year), , , , 0, , 
, ,   Total Space Available (current year), , , , 0, , 
, , , , , , , , 
, Investment, Beginning Gross Investment, , , , 0, , 
,   in Space, + New/Additional Space (initiated last year), , , , 0, , 
,   ($000s), + Cost of Improved Working Conditions, , , , 0, , 
, ,   Gross Investment in Facility Space, , , , 0, , 
, ,     – Accumulated Depreciation, , , , 0, , 
, ,     – Current-Year Depreciation (2.5%), , , , 0, , 
, ,         Net Investment in Facility Space, , , , 0, , 
, , , , , , , , 
, Construction, New/Additional Space (available next year), , , , 0, , 
,   WIP,   Capital Cost of New Space ($000s), , , , 0, , 
, , , , , , , , 
, , Space Available  Next Year, , , , 0, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
FACILITIES, Production, Purchased -------------------, , Beginning Pairs, , 0, , 
Latin America,   Equipment,   PRIOR to Year, ,   + New Pairs, , 0, , 
,   History, 10, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 11, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 12, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 13, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 14, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 15, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 16, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 17, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 18, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 19, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , Purchased in -------------------, , Beginning Pairs, , 0, , 
, , Year, ,   + New Pairs, , 0, , 
, , 20, ,   + Refurb Pairs, , 0, , 
, , , ,   – Pairs Sold, , 0, , 
, , , , Pairs Available, , 0, , 
, , , , Beginning Gross Inv $, , 0, , 
, , , ,   + New Inv $, , 0, , 
, , , ,   + Refurb Inv $, , 0, , 
, , , ,   + Upgrade Inv $, , 0, , 
, , , ,   – Sold Inv $, , 0, , 
, , , , Gross Investment $, , 0, , 
, , , ,   – Accum Dep, , 0, , 
, , , ,   – Current-Year Dep, , 0, , 
, , , , Net Investment $, , 0, , 
, , , , New Upgrade Order $, , 0, , 
, , , , Percent New Equip, , 0, , 
, , , , , , , , 
, , , Cash Received from Sale, , , 0, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
FACILITIES, Production, Equipment In-Place at End of Prior Year, , , , 0, , 
Latin America,   Equipment, Additional Equip Purchased ----------, , , New, 0, , 
,   (000s of pairs), , , , Refurb, 0, , 
, , Equipment Sold Off, , , , 0, , 
, ,   Equipment In-Place for Current Year, , , , 0, , 
, , , , , , , , 
, , Percentage New vs. Refurb ---------, , , New, 0, , 
, , , , , Refurb, 0, , 
, , , , , , , , 
, Investment in, Beginning Gross Investment, , , , 0, , 
,   Production,   + Capital Cost of New Equipment, , , , 0, , 
,   Equipment,   + Capital Cost of Refurbished Equipment, , , , 0, , 
,   ($000s),   + Capital Cost of Production Imp. Options, , , , 0, , 
, ,   + Capital Cost of Energy Efficiency Init, , , , 0, , 
, ,   – Capital Cost of Equipment Sold, , , , 0, , 
, ,     Gross Investment in Production Equip, , , , 0, , 
, ,       – Accumulated Depreciation, , , , 0, , 
, ,       – Current-Year Depreciation, , , , 0, , 
, ,         Net Investment in Production Equip, , , , 0, , 
, , , , , , , , 
, Equipment, Opt A -----------, Year Ordered, , , 0, , 
,   Upgrades, , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 0, , 
, , , Projected / Actual Cost Savings, , , 0, , 
, , , , , , , , 
, , Opt B -----------, Year Ordered, , , 0, , 
, , , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 0, , 
, , , Projected / Actual Cost Savings, , , 0, , 
, , , , , , , , 
, , Opt C -----------, Year Ordered, , , 0, , 
, , , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 0, , 
, , , Projected / Actual Cost Savings, , , 0, , 
, , , , , , , , 
, , Opt D -----------, Year Ordered, , , 0, , 
, , , Cost per 250k Pairs, , , 0, , 
, , , , , , , , 
, , , Projected / Total Capital Outlay, , , 0, , 
, , , Projected / Actual Cost Savings, , , 0, , 
, , , , , , , , 
, , Upgrade Cost for Option Ordered This Year, , , , 0, , 
, , Upgrade Cost for Options Already Online, , , , 0, , 
, , , , , , , , 
, , , , , , , , 
, Net Capital Outlays for this Production Facility, , , , , 0, , 
, Capital Cost of Production Improvements On Order, , , , , 0, , 
, Total Cash Received for Sale of Production Equipment, , , , , 0, , 
, , , , , , , , 
, , , , , , 0, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
FACILITIES, Space, Space Available at End of Last Year, , , , 11000, , 
Overall,   (000s of pairs), New/Additional Space (initiated last year), , , , 0, , 
, ,   Total Space Available (current year), , , , 11000, , 
, , , , , , , , 
, Investment, Beginning Gross Investment, , , , 210000, , 
,   in Space, + New/Additional Space (initiated last year), , , , 0, , 
,   ($000s), + Cost of Improved Working Conditions, , , , 0, , 
, ,   Gross Investment in Facility Space, , , , 210000, , 
, ,     – Accumulated Depreciation, , , , 31850, , 
, ,     – Current-Year Depreciation (2.5%), , , , 5250, , 
, ,         Net Investment in Facility Space, , , , 172900, , 
, , , , , , , , 
, Construction, New/Additional Space (available next year), , , , 0, , 
,   WIP,   Capital Cost of New Space ($000s), , , , 0, , 
, , , , , , , , 
, , Space Available  Next Year, , , , 11000, , 
, , , , , , 0, , 
, Production, Equipment In-Place at End of Prior Year, , , , 8000, , 
,   Equipment, Additional Equip Purchased ----------, , , New, 1000, , 
,   (000s of pairs), , , , Refurb, 0, , 
, , Equipment Sold Off, , , , 0, , 
, ,   Equipment In-Place for Current Year, , , , 9000, , 
, , , , , , , , 
, , Percentage New vs. Refurb ---------, , , New, 0.56, , 
, , , , , Refurb, 0.44, , 
, , , , , , , , 
, Investment in, Beginning Gross Investment, , , , 137600, , 
,   Production,   + Capital Cost of New Equipment, , , , 20000, , 
,   Equipment,   + Capital Cost of Refurbished Equipment, , , , 0, , 
,   ($000s),   + Capital Cost of Production Imp. Options, , , , 0, , 
, ,   + Capital Cost of Energy Efficiency Init, , , , 0, , 
, ,   – Capital Cost of Equipment Sold, , , , 0, , 
, ,     Gross Investment in Production Equip, , , , 157600, , 
, ,       – Accumulated Depreciation, , , , 71040, , 
, ,       – Current-Year Depreciation, , , , 15760, , 
, ,         Net Investment in Production Equip, , , , 70800, , 
, , , , , , , , 
, Net Capital Outlays for All Production Facilities, , , , , 20000, , 
, Total Capital Cost of Production Improvements On Order, , , , , 0, , 
, Total Cash Received for Sale of Production Equipment, , , , , 0, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
PRODUCTION, Production, Branded -----------, Pairs -----------, Regular Time, , 5000, , 
  AND, Statistics, ,   Prod, Overtime, , 1000, , 
WORKFORCE, , , , Rejected, , 402, , 
North America, , , ,   Net Production, , 5598, , 
, , , , , , , , 
, , , S/Q Rating of Pairs Produced, , , 5.2, , 
, , , Number of Models Produced, , , 200, , 
, , , , , , , , 
, , Capability Remaining for P-Label (pairs), , , , 0, , 
, , , , , , , , 
, , , Reject Rate (%), , , 0.067, , 
, , , Cost of Rejects-----------, , $000s, 10244, , 
, , , , , $/pair, 1.83, , 
, , , , , , , , 
, , P-Label ------------, Pairs -----------, Regular Time, , 0, , 
, , ,   Prod, Overtime, , 0, , 
, , , , Rejected, , 0, , 
, , , ,   Net Production, , 0, , 
, , , , , , , , 
, , , S/Q Rating of Pairs Produced, , , 3.2, , 
, , , Number of Models Produced, , , 100, , 
, , , , , , , , 
, , , Reject Rate (%), , , 0.066, , 
, , , Cost of Rejects-----------, , $000s, 0, , 
, , , , , $/pair, 0, , 
, , , , , , , , 
, , Production Capability (000s w/o OT), , , , 5000, , 
, , Total Pairs Produced (000s), , , , 6000, , 
, , Utilization of Production Capability (%), , , , 1.2, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
PRODUCTION, Workforce, Minimum Annual Base Wage, , , , 34000, , 
  AND, Statistics, , , , , , , 
WORKFORCE, , Compen ---------, Annual ------, Base Wages, , 34680, , 
North America, ,   sation,   ($/worker), Incentive Pay, , 5920, , 
, , , , Fringe Benefits, , 3007, , 
, , , ,   Regular Comp., , 43607, , 
, , , , Overtime Pay, , 11593, , 
, , , ,   Total Comp., , 55200, , 
, , , , , , , , 
, , , , Best Practices, , 600, , 
, , , , , , , , 
, , , , Minimum Sup Salary, , 60000, , 
, , , , Supervisory Salary, , 61200, , 
, , , , , , , , 
, , , Total ---------, Base Wages, , 34160, , 
, , ,   Cost, Incentive Pay, , 5831, , 
, , ,   ($000s), Fringe Benefits, , 2962, , 
, , , ,   Regular Comp., , 42953, , 
, , , , Overtime Pay, , 11419, , 
, , , ,   Total Comp., , 54372, , 
, , , , , , , , 
, , , , Best Practices, , 591, , 
, , , , Supervisory Comp, , 2387, , 
, , , , , , , , 
, , Incentive Pay as % of Regular Comp., , , , 0.136, , 
, , , , , , 1491, , 
, , Cumulative Best  ----------, , Cumulative Workers, , 2585, , 
, ,   Practices, , Cumulative Pairs, , 15063, , 
, , , ,   $ Per Worker, , 600, , 
, , , ,   $ Per Pair, , 0.1, , 
, , , , , , , , 
, , Prior Year -------------------, , Worker Productivity, , 5000, , 
, , , , Number of Workers, , 800, , 
, , , , Number of Supervisors, , 20, , 
, , , , , , , , 
, , Curretn Year ---------------, , Worker Productivity, , 5074, , 
, , , , Number of Workers, , 985, , 
, , , , Number of Supervisors, , 39, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
PRODUCTION, Branded, Global Materials Costs ----------------, , , Standard, 5.58, , 
  AND, Production, , , , Superior, 15.43, , 
WORKFORCE, Costs, Materials Cost Impact from Best Practices, , , , 0, , 
North America, , , , , , , , 
, , Branded Cost Allocation %, , , , 1, , 
, , , , , , , , 
, , $000s ------------, Materials Costs -------------, , Standard, 15401, , 
, , , , , Superior, 49993, , 
, , , , ,   Total, 65394, , 
, , , Labor Costs, , , 54372, , 
, , , Best Practices Training, , , 591, , 
, , , Supervisory Costs, , , 2387, , 
, , , Enhanced Styling/Features, , , 3600, , 
, , , TQM/6-Sigma Program, , , 6000, , 
, , , Production Run Setup, , , 4500, , 
, , , Facilities Maintenance, , , 3516, , 
, , , Depreciation Expense, , , 12400, , 
, , , , , , , , 
, , ,   Total Production Costs, , , 152760, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
PRODUCTION, S/Q Rating, S/Q Variables ---------------, , Superior Materiasl %, , 0.54, , 
  AND,   (Branded), , , Style/Feat per Model, , 18, , 
WORKFORCE, , , , TQM ----------, Current, 1, , 
North America, , , , , GTD Avg, 1, , 
, , , , Avg BP per Worker, , 1200, , 
, , , , New Equipment %, , 1, , 
, , , , Upgrade C (1/0), , 0, , 
, , , , , , , , 
, , S/Q Points ---------------, , Superior Materiasl %, , 22, , 
, , , , Style/Feat per Model, , 9.6, , 
, , , , TQM ----------, Current, 4.1, , 
, , , , , Cumulate, 8.5, , 
, , , , Avg BP per Worker, , 2.4, , 
, , , , New Equipment %, , 5, , 
, , , , Upgrade C (points), , 0, , 
, , , , , , , , 
, , , , Total S/Q Points, , 51.6, , 
, , , , , , , , 
, , , , , , , , 
, , , , , , , , 
PRODUCTION, Reject Rate, Reject Rate ------------------, , Number of Models, , 200, , 
  AND,   (Branded),   Variables, , TQM (GTD Avg), , 1, , 
WORKFORCE, , , , Incentive Pay ($/pr), , 1.25, , 
